45,Male,Post Graduate,Mobile and  PC,1 - 5 Lakhs,Mumbai,60,Facebook and  Whatsapp,Business,Whenever you're free,Employed,No,No,No,Yes,No,Married,3,Not regular,35,200,Half of them
20,Male,Under Graduate,Gaming Console,<1 Lakh,Mumbai,37,Facebook and  Instagram and  Twitter and  Tumblr and  Whatsapp and  Snapchat,stalking,All day,Student,Yes,Yes,Yes,Yes,Yes,Single,1,More than 10,16,700,Most of them
30,Female,Graduate,Mobile,1 - 5 Lakhs,Telangana,60,Facebook and  Instagram and  Whatsapp,Stalking,All day,Unemployed,No,Yes,No,Yes,No,Married,1,5-Oct,25,100,Half of them
20,Male,Under Graduate,Gaming Console,> 10 Lakhs,NYC,99,Facebook and  Instagram and  Twitter and  Tumblr and  Whatsapp and  Snapchat,entertainment(mostly stalking),All day,Student,No,No,No,No,No,Single,2,More than 10,19,250,None of them
55,Male,Under Graduate,Gaming Console,> 10 Lakhs,Delhi,54,Whatsapp,doing hooking,All day,Home maker,Yes,Yes,Yes,Yes,Yes,Married,1,Not regular,2,0,None of them
30,Male,High School Graduate,PC,> 10 Lakhs,Gujarat,45,Twitter,Business,All day,Self-employed,Yes,Yes,No,No,No,Married,3,More than 10,25,1500,None of them
20,Male,Under Graduate,Mobile and  PC,1 - 5 Lakhs,MUMBAI,81,Facebook and  Instagram and  Whatsapp and  Snapchat,Social,3-4 hours,Student,No,Yes,No,Yes,Yes,Single,1,<5,12,500,Half of them
80,Male,Graduate,Mobile and  PC,> 10 Lakhs,Goa,80,Facebook and  Whatsapp,Playing Poker,1-2 hours,Employed,No,No,No,Yes,Yes,Married,1,Not regular,42,8,Most of them
20,Female,Under Graduate,Mobile and  Tablet,> 10 Lakhs,Mumbai,45,Instagram and  Twitter,doing hookah u want ?,1-2 hours,Home maker,Yes,Yes,Yes,Yes,Yes,Married,4,<5,19,54000,None of them
12,Male,High School Graduate,Mobile and  Tablet and  PC,1 - 5 Lakhs,Chennai,60,Facebook and  Whatsapp,Play Games,All day,Student,No,No,No,Yes,No,Single,1,Not regular,10,20,Half of them
20,Female,Under Graduate,PC,<1 Lakh,Hawaii,88,Facebook,Social,1-2 hours,Student,No,No,No,Yes,No,Single,4,<5,18,200,All of them
59,Male,Graduate,Mobile and  PC,> 10 Lakhs,Delhi,98,Facebook and  Whatsapp,Doing MITRON and Bhaiyo aur Beheno,1-2 hours,Self-employed,Yes,No,No,Yes,No,Married,3,More than 10,48,500,Most of them
50,Female,Graduate,Tablet and  PC and  Gaming Console,<1 Lakh,Mumbai,80,Facebook and  Instagram,to spread rumors,All day,Home maker,No,No,No,Yes,Yes,Married,1,Not regular,15,50000,None of them
10,Male,High School Graduate,Mobile and  Tablet and  PC and  Gaming Console,5 - 10 Lakhs,UK,75,Facebook and  Instagram and  Snapchat,Business,All day,Self-employed,Yes,Yes,Yes,Yes,Yes,Single,1,More than 10,10,50000,None of them
24,Male,Graduate,Mobile and  Tablet and  PC and  Gaming Console,> 10 Lakhs,NYC,55,Facebook and  Instagram and  Twitter and  Tumblr and  Whatsapp and  Snapchat,Show off,All day,Unemployed,Yes,Yes,Yes,Yes,Yes,Single,1,More than 10,12,1888,Half of them
60,Female,High School Graduate,Mobile and  Tablet and  PC and  Gaming Console,> 10 Lakhs,pallet town,65,Twitter and  Tumblr,nrop,All day,Unemployed,No,Yes,No,Yes,Yes,Married,2,5-Oct,12,1000,All of them
21,Female,Under Graduate,Mobile and  PC,> 10 Lakhs,Mumbai,89,Instagram and  Whatsapp,Social,Whenever you're free,Student,No,Yes,Yes,Yes,Yes,Single,2,Not regular,14,800,Half of them
27,Female,Post Graduate,Mobile and  PC,> 10 Lakhs,Mumbai,92,Whatsapp,Social,1-2 hours,Employed,No,No,No,Yes,No,Single,2,<5,15,200,All of them
16,Male,Under Graduate,Mobile,5 - 10 Lakhs,Mumbai,75,Whatsapp,Social,5-6 hours,Student,Yes,Yes,Yes,Yes,No,Single,1,5-Oct,12,600,Half of them
40,Male,Post Graduate,PC,> 10 Lakhs,Ahmedabad,89,Whatsapp,Social,1-2 hours,Self-employed,Yes,No,No,Yes,No,Married,4,Not regular,25,300,Most of them
30,Female,Graduate,Mobile and  PC,1 - 5 Lakhs,Coimbatore,66,Whatsapp,Social,1-2 hours,Employed,Yes,No,No,Yes,No,Married,3,<5,24,275,All of them
24,Male,Graduate,Mobile and  PC,5 - 10 Lakhs,Goa,72,Instagram,Social,1-2 hours,Employed,Yes,Yes,Yes,Yes,No,Single,2,5-Oct,16,600,Most of them
50,Male,High School Graduate,Mobile and  PC,> 10 Lakhs,Delhi,55,Instagram,Business,3-4 hours,Self-employed,Yes,Yes,No,Yes,No,Married,5,More than 10,35,1500,None of them
27,Female,Graduate,Mobile and  PC,5 - 10 Lakhs,Mumbai,71.84,Whatsapp,Social,1-2 hours,Employed,Yes,No,No,Yes,No,Married,1,<5,20,589,Most of them
27,Female,High School Graduate,Mobile,> 10 Lakhs,Kolkata,68,Instagram,Social,3-4 hours,Self-employed,No,Yes,No,Yes,Yes,Married,3,5-Oct,20,680,Half of them
10,Male,Under Graduate,Mobile,5 - 10 Lakhs,Mumbai,70,Facebook,Games,3-4 hours,Student,No,No,No,Yes,Yes,Single,1,<5,9,50,None of them
32,Male,Post Graduate,Mobile and  PC,1 - 5 Lakhs,Navi Mumbai,70,Facebook and  Whatsapp,Social,1-2 hours,Employed,Yes,Yes,No,Yes,Yes,Married,1,More than 10,26,1000,Half of them
26,Female,Graduate,Mobile and  PC,1 - 5 Lakhs,Thane,80,Facebook and  Whatsapp,Social,1-2 hours,Employed,Yes,Yes,Yes,Yes,No,Single,2,Not regular,20,500,Most of them
23,Male,Under Graduate,Mobile and  Tablet and  PC and  Gaming Console,1 - 5 Lakhs,mumbai,98,Facebook and  Instagram and  Twitter and  Tumblr and  Whatsapp and  Snapchat,Social,7-8 hours,Employed,Yes,Yes,Yes,Yes,Yes,Single,1,<5,15,878,Most of them
25,Female,Under Graduate,Mobile and  Tablet and  PC,5 - 10 Lakhs,Thane,70,Facebook and  Instagram and  Whatsapp,Business,Whenever you're free,Employed,No,Yes,No,Yes,Yes,Married,3,5-Oct,15,1500,Half of them
